Date,Region,Place,Trigger,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed
03-01-14,Provo,Dry Creek,Natural,Facets,6',600,1000,Northeast,10000,"40.492436000000, -111.704028000000",,,,,,
03-01-14,Salt Lake,Cardiff Fork,Natural,Depth Hoar,3.5',200,500,West,9900,"40.602731000000, -111.648772000000",,,,,,
03-01-14,Salt Lake,Red Pine Gulch,Natural,Ground Interface,6',1000,1000,Northeast,10700,,,,,,,
03-01-14,Salt Lake,Mineral Fork,Natural,Depth Hoar,,150,1000,North,9800,"40.605856000000, -111.680787000000",,,,,,
03-01-14,Uintas,Chalk Creek,Natural,Ground Interface,10',1/2 mile,1000,Northeast,10600,"40.837814000000, -111.088943000000",,,,,,
03-01-14,Uintas,Upper Weber Canyon,Natural,Depth Hoar,3',250,200,Northeast,10600,"40.832879000000, -111.090317000000",,,,,,
03-01-14,Salt Lake,Sunset Peak,Unknown,Facets,unknown,,600,Northwest,10300,"40.578531000000, -111.593328000000",,,,,,
03-01-14,Logan,Franklin Basin,Skier,Facets,3',250,50,Northeast,8100,"41.959628000000, -111.601921000000",,,,,,
03-01-14,Uintas,Moffit Basin,Natural,Depth Hoar,3',150,450,North,10500,"40.813809000000, -110.954361000000",,,,,,
03-01-14,Salt Lake,Michigan City,Skier,Density Change,"16""",150,200,North,9700,"40.592674000000, -111.616560000000",,,,,,
03-01-14,Logan,Coldwater Canyon,Natural,Depth Hoar,4',1/4 mile,2000,East,8700,,,,,,,
03-01-14,Salt Lake,East Bowl,,,,,,,,,,,,,,
02/28/2014,Salt Lake,Cardiff Bowl,Skier,Density Change,"8""",40,400,Southeast,10200,,,,,,,
02/28/2014,Salt Lake,Flagstaff Ridge,Skier,Density Change,"12""",100,300,Southeast,9700,"40.595739000000, -111.640642000000",,,,,,
02/28/2014,Salt Lake,Catchers Mit,Natural,Density Change,unknown,Unknown,Unknown,East,Unknown,,,,,,,
02/28/2014,Salt Lake,Lackawaxen,Snowboarder,Density Change,"12""",50,200,Northeast,10300,"40.591222000000, -111.558867000000",,,,,,
02/28/2014,Salt Lake,Lackawaxen,Snowboarder,New Snow,"14""",350,1250,Northeast,9900,"40.592611000000, -111.560583000000",,1,1,,,
02/28/2014,Salt Lake,Pink Pine,Skier,New Snow/Old Snow Interface,"12""",80,600,Northeast,9200,"40.558613000000, -111.692591000000",,,,,,
02/28/2014,Salt Lake,Pioneer Ridge,Snowboarder,,,100,300,,,,,,,,,
02/28/2014,Salt Lake,Big Cottonwood Canyon,Snowboarder,New Snow,"14""",150,800,Northeast,10600,"40.591307000000, -111.560154000000",1,1,,,,
02/28/2014,Salt Lake,Toledo Chutes,,,,,,,,"40.597531000000, -111.646585000000",,,,,,
02/28/2014,Salt Lake,Two Dogs,Unknown,New Snow,"12""",100,300,Northeast,Unknown,"40.599812000000, -111.642723000000",,,,,,
02/28/2014,Salt Lake,Squaretop,Skier,,"10""",30,350,Northeast,9800,,,,,,,
02/28/2014,Salt Lake,Catchers Mit,Natural,New Snow/Old Snow Interface,"15""",40,500,East,10000,"40.624637000000, -111.667786000000",,,,,,
02/27/2014,Salt Lake,Patsy Marly,Skier,Density Change,"4""",100,400,West,9400,"40.592839000000, -111.620150000000",,,,,,
02/26/2014,Salt Lake,Mineral Fork,Natural,Wet grains,4',Unknown,200,Northeast,9800,"40.605938000000, -111.680059000000",,,,,,
02/25/2014,Salt Lake,Mineral Fork,Natural,Facets,2.5',50,600,East,10400,"40.600988000000, -111.674683000000",,,,,,
02/25/2014,Uintas,Millcreek,Natural,Facets,4',250,600,Southeast,10800,"40.868267000000, -110.705109000000",,,,,,
02/24/2014,Logan,"Mt. Magog, South Ridge",Natural,New Snow/Old Snow Interface,"18""",80,300,East,9200,"41.915252000000, -111.653366000000",,,,,,
02/24/2014,Provo,Cascade Ridge,Unknown,Wet grains,unknown,Unknown,1500,East,8800,"40.304731000000, -111.564188000000",,,,,,
02/24/2014,Provo,Cascade Ridge,,,,,,,,,,,,,,
02/23/2014,Uintas,Millcreek,Snowmobiler,Facets,3',200,175,East,10600,"40.860475000000, -110.731201000000",,,,,,
02/22/2014,Uintas,Chalk Creek,Natural,Ground Interface,12',250,400,Northeast,10600,"40.840152000000, -111.086197000000",,,,,,
02/21/2014,Uintas,Chalk Creek,Skier,Facets,3',500,600,Northeast,10400,"40.849502000000, -111.058731000000",,,,,,
02/21/2014,Salt Lake,Lake Desolation,Unknown,,4.5',175,300,Northeast,9700,"40.657093000000, -111.603198000000",,,,,,
02/21/2014,Skyline,Manti Canyon,Snowmobiler,Depth Hoar,3.5',500,400,Northeast,10100,,,,,,,
02/19/2014,Salt Lake,west porter,Unknown,New Snow/Old Snow Interface,2',350,700,Northeast,9300,,,,,,,
02/19/2014,Provo,Mt Nebo Loop Road,Unknown,New Snow/Old Snow Interface,"16""",80,400,Northeast,8900,"39.890688000000, -111.690273000000",,,,,,
02/18/2014,Salt Lake,Broads Fork,,,5',,,,,"40.601832000000, -111.717224000000",,,,,,
02/18/2014,Uintas,Upper Weber Canyon,Natural,Ground Interface,12',700,1500,Northeast,10400,"40.823527000000, -111.104050000000",,,,,,
02/18/2014,Salt Lake,Broads Fork,Natural,,4',1000,,Northeast,10000,"40.612486000000, -111.722631000000",,,,,,
02/17/2014,Uintas,Coalville,Natural,Ground Interface,3',125,100,Northeast,9800,"40.982153000000, -111.236229000000",,,,,,
02/17/2014,Ogden,North Davis County Mtns,Natural,,unknown,3/4 mile,2500,Northwest,9800,"41.081058000000, -111.852150000000",,,,,,
02/17/2014,Uintas,Upper Weber Canyon,Unknown,Ground Interface,4',300,350,Northeast,10000,,,,,,,
02/16/2014,Uintas,Chalk Creek,Natural,Ground Interface,4',500,400,Northeast,10400,"40.840152000000, -111.084824000000",,,,,,
02/16/2014,Salt Lake,Mill A,Natural,,3',200,,East,10000,"40.672762000000, -111.681862000000",,,,,,
02/16/2014,Provo,Dry Fork,Natural,,,,,Southeast,,,,,,,,
02/16/2014,Provo,Timpanogos,,,,,,,,"40.365250000000, -111.630707000000",,,,,,
02/16/2014,Salt Lake,Wilson Fork,Natural,Depth Hoar,3',250,600,Northeast,9200,,,,,,,
02/16/2014,Provo,Payson Canyon,Natural,Facets,3',30,50,Northeast,9400,"39.861658000000, -111.688428000000",,,,,,
02/16/2014,Logan,Central Bear River Range,Natural,,,,,Southwest,9200,"41.934803000000, -111.715164000000",,,,,,
02/16/2014,Provo,Trailer Court Canyon,Natural,Facets,4',200,2000,Northeast,8000,"40.368375000000, -111.591180000000",,,,,,
02/16/2014,Uintas,Whitney Basin,Natural,Ground Interface,6',1/4 mile,500,Northeast,10600,"40.841191000000, -111.013412000000",,,,,,
02/15/2014,Salt Lake,Twin Lakes Pass,Snowboarder,Depth Hoar,4',200,800,East,10000,"40.592861000000, -111.608133000000",,,,,,
02/15/2014,Salt Lake,Dutch Draw,Natural,New Snow/Old Snow Interface,2',50,100,Northeast,10000,"40.652162000000, -111.593199000000",,,,,,
02/15/2014,Logan,First Waterfall Hollow Area,Natural,Depth Hoar,3',Unknown,Unknown,North,9000,,,,,,,
02/15/2014,Salt Lake,Radar Love Bowl,Skier,Facets,4',400,Unknown,Northeast,9800,"40.627479000000, -111.567521000000",,,,,,
02/15/2014,Logan,Temple Fork,Natural,Facets,"17""",100,400,Northeast,6400,"41.815850000000, -111.603928000000",,,,,,
02/15/2014,Skyline,Spring Creek,Snowmobiler,Depth Hoar,5',1/4 mile,400,Northeast,9900,"39.593519000000, -111.296094000000",1,1,,,,
02/15/2014,Logan,Beaver Mountain Backside,Unknown,Depth Hoar,2.5',400,200,East,7000,"41.957129000000, -111.542816000000",,,,,,
02/15/2014,Salt Lake,Flagstaff Ridge,,New Snow/Old Snow Interface,"8""",100,800,Southeast,9500,"40.599000000000, -111.642000000000",,,,,,
02/15/2014,Logan,3 Terraces,Unknown,Depth Hoar,4',400,500,Northeast,9400,"41.710598000000, -111.712074000000",,,,,,
02/15/2014,Logan,Mill Hollow,Natural,Facets,3.5',Unknown,Unknown,Northeast,9000,"41.717389000000, -111.723468000000",,,,,,
02/15/2014,Logan,Mill Hollow,Natural,Depth Hoar,3',Unknown,Unknown,Northeast,9200,"41.726743000000, -111.728897000000",,,,,,
02/15/2014,Logan,Logan Peak Cirque,Natural,Facets,2.5',,,Northwest,9000,"41.709252000000, -111.726880000000",,,,,,
02/15/2014,Logan,West Card Canyon,,,,,,East,,"41.743601000000, -111.666198000000",,,,,,
02/15/2014,Uintas,Upper Weber Canyon,Explosive,Ground Interface,7',700,1500,Northeast,10400,"40.787144000000, -111.075211000000",,,,,,
02/15/2014,SE Idaho,Camp Wilderness Bowl,Unknown,,,,,,,"42.032947000000, -111.646009000000",,,,,,
02/15/2014,Salt Lake,Dutch Draw,Unknown,,2',50,,East,,"40.654492000000, -111.593885000000",,,,,,
02/15/2014,Logan,Garden City Bowls-The Gut,Unknown,,,,800,East,8400,"41.968170000000, -111.472092000000",,,,,,
02/15/2014,Ogden,Willard Peak,Natural,Ground Interface,unknown,1/4 mile,2500,Northeast,9200,"41.376682000000, -111.967592000000",,,,,,
02/15/2014,Logan,First Waterfall Hollow,Unknown,,,,,North,7100,"41.687502000000, -111.743424000000",,,,,,
02/14/2014,Salt Lake,Cardiac Bowl,Natural,Facets,6',1000,,East,10500,"40.595869000000, -111.666584000000",,,,,,
02/14/2014,Provo,Loafer Mountain,Natural,Density Change,2',800,3500,West,10100,"39.980098000000, -111.612167000000",,,,,,
02/14/2014,Salt Lake,West Desolation Ridge,Unknown,,,,,North,9600,"40.656127000000, -111.601524000000",,,,,,
02/14/2014,Salt Lake,Mill B South,Natural,,4',Unknown,1750,Northwest,10800,"40.590343000000, -111.696496000000",,,,,,
02/14/2014,Salt Lake,West Desolation Ridge,Natural,,,,,North,9600,"40.655574000000, -111.612425000000",,,,,,
02/14/2014,Salt Lake,Lake Desolation,Natural,,5',200,400,Northeast,9600,,,,,,,
02/14/2014,Salt Lake,Red Rocks Chutes,,,,,,Northeast,9500,"40.667489000000, -111.603928000000",,,,,,
02/14/2014,Provo,Hobble Creek Left Fork,Natural,Facets,3',300,60,Northwest,7500,"40.271052000000, -111.359074000000",,,,,,
02/14/2014,Salt Lake,Upper Days,Natural,Facets,4',40,400,Northeast,10000,"40.601083000000, -111.642423000000",,,,,,
02/14/2014,Salt Lake,Guild Line,Natural,Facets,3.5',150,1000,North,9800,"40.607844000000, -111.615686000000",,,,,,
02/14/2014,Salt Lake,Little Cottonwood Canyon,,,,,,,,,,,,,,
02/14/2014,Salt Lake,West Monitor,Snowboarder,Depth Hoar,3',40,1000,Northeast,9800,"40.642419000000, -111.576376000000",,,,,,
02/14/2014,Salt Lake,Salt Lake,,,,,,,,,,,,,,
02/14/2014,Salt Lake,Wolverine Cirque,Natural,Depth Hoar,"6""",300,600,Northeast,10500,"40.588537000000, -111.608262000000",,,,,,
02/14/2014,Salt Lake,Cardiff Fork,Unknown,,5',,,East,10400,"40.604598000000, -111.667378000000",,,,,,
02/13/2014,Salt Lake,Dutch Draw,Unknown,,,,,Southeast,10000,"40.652122000000, -111.593456000000",,,,,,
02/13/2014,Uintas,Upper Weber Canyon,Natural,Ground Interface,10',500,700,Northeast,10400,"40.790264000000, -111.038132000000",,,,,,
02/13/2014,Ogden,James Peak,Natural,Depth Hoar,3',70,150,Northeast,9000,"41.393037000000, -111.797819000000",,,,,,
02/13/2014,Salt Lake,Scotts Peak,Natural,Facets,2',200,600,Northeast,10000,"40.625968000000, -111.566870000000",,,,,,
02/13/2014,Provo,Rock Canyon,Natural,Density Change,unknown,250,3500,Southwest,10500,"40.287488000000, -111.583543000000",,,,,,
02/13/2014,Provo,Santaquin Canyon,Snowmobiler,Facets,"12""",100,50,Northeast,8400,"39.862771000000, -111.690445000000",1,1,1,,,
02/13/2014,Skyline,North Creek,Natural,Facets,2',50,30,Northwest,8000,,,,,,,
02/13/2014,Logan,Lower Logan Canyon,Natural,Depth Hoar,4.5',Unknown,2000,North,8000,,,,,,,
02/13/2014,Logan,Pine Canyon,Natural,,,,,Northeast,8900,"41.619036000000, -111.976089000000",,,,,,
02/13/2014,Logan,Big Baldy Chute,,,,,,,,,,,,,,
02/13/2014,Provo,Provo,Natural,Facets,unknown,200,1000,South,8600,"39.988103000000, -111.593671000000",,,,,,
02-12-14,Salt Lake,Lake Mary,Skier,Facets,3',35,50,East,9600,"40.587819000000, -111.592727000000",,,,,,
02-12-14,Skyline,Lost Creek Reservoir,Snowmobiler,,,,,North,9600,"38.717432000000, -111.722284000000",1,1,1,,,
02-11-14,Salt Lake,Toledo Chutes,Skier,,,80,500,Southeast,10200,"40.597545000000, -111.647988000000",,,,,,
02-11-14,Logan,Providence Quarry,Snowmobiler,Facets,"12""",80,150,West,6700,"41.689100000000, -111.743460000000",,,,,,
02-11-14,Salt Lake,Lake Mary,Snowboarder,Depth Hoar,4',60,80,Northeast,9600,"40.587331000000, -111.592169000000",,,,,,
02-11-14,Skyline,Boulger Canyon,Snowmobiler,,2',100,70,North,,"39.630315000000, -111.270218000000",,,,,,
02-11-14,Salt Lake,Mars Hill,Snowmobiler,Facets,4',90,400,Northeast,9800,"40.593393000000, -111.543674000000",,,,,,
02-11-14,Uintas,Spring Canyon,Natural,Facets,4',50,50,Northeast,9200,"40.808872000000, -111.255198000000",,,,,,
02-11-14,Logan,Millville Face,Snowmobiler,Depth Hoar,3',300,250,North,8600,"41.681860000000, -111.714550000000",2,1,,1,1,
02-11-14,Uintas,Mill Hollow,Natural,Ground Interface,2.5',250,250,East,8400,"40.511408000000, -111.073151000000",,,,,,
02-11-14,Uintas,Currant Creek Peak,Snowmobiler,Depth Hoar,4.5',1/4 mile,600,Northeast,10500,"40.379267000000, -111.174388000000",,,,,,
02-11-14,Salt Lake,Mineral Fork,Skier,Depth Hoar,4',300,1000,Northeast,9500,"40.617992000000, -111.696196000000",,,,,,
02-11-14,Salt Lake,Dutch Draw,Snowboarder,New Snow/Old Snow Interface,"12""",,,Northeast,9900,"40.651780000000, -111.593700000000",,,,,,
02-11-14,Uintas,Upper Weber Canyon,Natural,Ground Interface,4',175,350,Northeast,10400,"40.758024000000, -111.001053000000",,,,,,
02-11-14,Salt Lake,Highline,Natural,Facets,unknown,500,Unknown,Northeast,9500,"40.613496000000, -111.691389000000",,,,,,
02-11-14,Salt Lake,10420,Natural,New Snow/Old Snow Interface,"12""",100,Unknown,Northeast,9900,,,,,,,
02-10-14,Skyline,GE Hill/Skyline Summit,,,,,,,,,,,,,,
02-10-14,Salt Lake,Grizzly Gulch,Snowboarder,Density Change,"6""",30,40,Southwest,10200,"40.597271000000, -111.610923000000",,,,,,
02-10-14,Salt Lake,West Monitor,Skier,Depth Hoar,6',1000,1000,Northeast,9900,"40.638522000000, -111.576458000000",,,,,,
02-10-14,Salt Lake,Grizzly Gulch,Skier,Density Change,"12""",60,50,Southwest,10000,"40.596427000000, -111.611754000000",,,,,,
02-10-14,Skyline,Big Drift/Skyline Summit,Unknown,,unknown,,,Northeast,10000,"39.618151000000, -111.308670000000",,,,,,
02-10-14,Uintas,Uintas,Natural,New Snow/Old Snow Interface,3',250,700,North,9300,"40.817155000000, -111.262622000000",,,,,,
02-10-14,Skyline,Skyline Regionwide Avalanche Cycle,Natural,Ground Interface,4',500,Unknown,Northeast,9800,"39.611348000000, -111.237259000000",,,,,,
02-10-14,Uintas,Upper Weber Canyon,Natural,Depth Hoar,3',250,450,Southwest,10600,"40.766346000000, -111.006546000000",,,,,,
02-10-14,Salt Lake,Sound of Music,Unknown,New Snow/Old Snow Interface,unknown,Unknown,350,East,9300,"40.682395000000, -111.600344000000",,,,,,
02-10-14,Uintas,Uintas Lake Creek Avalanche Cycle,Natural,Depth Hoar,4',300,350,Northeast,10000,"40.421521000000, -111.130486000000",,,,,,
02-10-14,Moab,La Sal Mountains,Natural,Facets,3',100,400,North,10000,"38.463857000000, -109.273667000000",,,,,,
02-10-14,Logan,East Banks,Natural,,2',Unknown,Unknown,West,7700,,,,,,,
02-10-14,Provo,Cascade Ridge,Natural,,,,3500,Southwest,9200,"40.309259000000, -111.590023000000",,,,,,
02-10-14,Skyline,Skyline Mine Road,Natural,New Snow/Old Snow Interface,3',1/2 mile,100,North,8700,"39.684170000000, -111.203763000000",3,,,,,
02-09-14,Ogden,Cutler Ridge,Unknown,Depth Hoar,4',100,80,North,7800,"41.374586000000, -111.942594000000",,,,,,
02-09-14,Skyline,North Fork,Natural,Facets,,,,North,10000,"39.541872000000, -111.310556000000",,,,,,
02-09-14,Salt Lake,Little Water Peak,Natural,Graupel,"16""",150,300,Northeast,9600,"40.672133000000, -111.626630000000",,,,,,
02-09-14,Ogden,Cutler Ridge,Natural,,,300,,North,6200,"41.385792000000, -111.931221000000",,,,,,
02-09-14,Skyline,Blue Slide Fork,Natural,Facets,,,,North,10000,"39.530640000000, -111.308322000000",,,,,,
02-09-14,Salt Lake,West Desolation Ridge,,Facets,5',,,,,"40.656920000000, -111.615622000000",,,,,,
02-09-14,Skyline,Pleasant Creek,Natural,Facets,,,,,,"39.513938000000, -111.314841000000",,,,,,
02-09-14,Skyline,Chute Camp Site,Natural,Facets,,,,,,"39.570532000000, -111.186662000000",,,,,,
02-09-14,Ogden,Cutler Ridge,Skier,Facets,3',Unknown,Unknown,Northeast,7900,,,,,,,
02-09-14,Provo,Bridalveil Falls,Natural,New Snow,unknown,Unknown,1250,North,Unknown,"40.339543000000, -111.601911000000",,,,,,
02-09-14,Ogden,Cutler Ridge,Natural,,,,,Northeast,Unknown,,,,,,,
02-09-14,Skyline,Seeley Creek,Natural,Facets,,,,Northeast,10500,"39.499465000000, -111.289828000000",,,,,,
02-09-14,Skyline,South Fork Birch Creek,Natural,Facets,,,,Northwest,10100,"39.552759000000, -111.309782000000",,,,,,
02-09-14,Logan,Natural Avalanche Cycle in Logan Canyon,Natural,,,,,,Unknown,,,,,,,
02-09-14,Salt Lake,Scotts Peak,Natural,New Snow,"2""",25,700,North,10000,,,,,,,
02-09-14,Ogden,Powder Mountain Backcountry,Natural,Depth Hoar,unknown,1/4 mile,1500,Northeast,8800,"41.401793000000, -111.779537000000",,,,,,
02-09-14,Salt Lake,Upper Mill Creek,Skier,,2',50,400,Northeast,9400,,,,,,,
02-09-14,Salt Lake,West Willow,,,,,,,,,,,,,,
02-09-14,Skyline,Chokecherry Ridge,Natural,Facets,,,,North,9700,"39.572097000000, -111.325448000000",,,,,,
02-09-14,Salt Lake,Meadows,,,,,,,,,,,,,,
02-09-14,Abajo,Horsehead Peak,Natural,Facets,3',600,1000,Northeast,10200,"37.869893000000, -109.463353000000",,,,,,
02-09-14,Salt Lake,Dougs Drop,,,,,,,,,,,,,,
02-09-14,Logan,Wood Camp,Natural,,unknown,Unknown,1750,East,9000,,,,,,,
02-09-14,Skyline,Huntington Reservior,Snowmobiler,Facets,4',300,175,Northeast,9600,"39.585986000000, -111.270003000000",1,1,,1,,1
02-09-14,Salt Lake,South Squaretop,Skier,Facets,2',80,150,East,9000,"40.666025000000, -111.594894000000",1,,,,,
02-09-14,Ogden,Ben Lomond,Natural,,,,,Southeast,7800,"41.354230000000, -111.962550000000",,,,,,
02-09-14,Salt Lake,West Desolation Ridge,Unknown,,,,,North,9600,,,,,,,
02-09-14,Ogden,Geertsen Canyon,Natural,New Snow/Old Snow Interface,unknown,500,1000,,7600,"41.321943000000, -111.746707000000",,,,,,
02-09-14,Ogden,Chilly Peak Slabs,Natural,,,,2250,Northeast,8200,"41.346917000000, -111.921694000000",,,,,,
02-09-14,Provo,Timpanogos,Natural,,6',800,Unknown,Southwest,10800,"40.383680000000, -111.645727000000",,,,,,
02-09-14,Ogden,Cutler Basin,Natural,,,,2250,Northeast,9200,"41.373652000000, -111.968150000000",,,,,,
02-09-14,Skyline,South Fork North Creek,Natural,Facets,,,,North,10000,"39.551693000000, -111.315013000000",,,,,,
02-09-14,Logan,Logan Dry Canyon,Natural,,unknown,200,Unknown,Northeast,8100,"41.713520000000, -111.754646000000",,,,,,
02-08-14,Skyline,Electric Lake,Natural,Facets,3',250,800,North,9400,"39.631961000000, -111.247151000000",,,,,,
02-08-14,Provo,Hanks Canyon,Natural,,unknown,175,1250,Northeast,8700,"40.375778000000, -111.493500000000",,,,,,
02-08-14,Logan,East Faces-Wellsville Range,Natural,,unknown,Unknown,2500,East,Unknown,"41.677860000000, -112.008912000000",,,,,,
02-08-14,Provo,Hanks Canyon,Natural,,,700,1000,East,8400,"40.381205000000, -111.497280000000",,,,,,
02-08-14,Salt Lake,Doughnut Falls,Natural,New Snow/Old Snow Interface,"8""",40,100,West,7800,"40.631346000000, -111.654289000000",,,,,,
02-08-14,Provo,Hanks Canyon,Natural,,,100,Unknown,East,8400,"40.383265000000, -111.497110000000",,,,,,
02-08-14,Salt Lake,Scotts Bowl,Natural,Facets,unknown,150,600,North,10000,,,,,,,
02-08-14,Provo,Lost Creek,,,,,,,,"40.354378000000, -111.614695000000",,,,,,
02-08-14,Salt Lake,Snake Creek,Skier,New Snow/Old Snow Interface,2',50,,Southeast,10100,"40.585311000000, -111.563413000000",,,,,,
02-08-14,Salt Lake,Red Rocks Chutes,Skier,New Snow/Old Snow Interface,2',350,600,East,9500,"40.666442000000, -111.603976000000",,,,,,
02-08-14,Provo,Tibble Fork,Snowshoer,New Snow/Old Snow Interface,"18""",250,125,Northeast,6400,"40.482366000000, -111.648088000000",1,1,,1,,1
02-08-14,Salt Lake,Upper Mill Creek,Natural,,unknown,500,Unknown,Northeast,9500,"40.675431000000, -111.615429000000",,,,,,
02-08-14,Salt Lake,Tri-county Peak,Snowmobiler,Facets,3',300,Unknown,Southeast,9900,"40.608772000000, -111.552944000000",2,,,,,
02-08-14,Moab,La Sal Mountains,Natural,New Snow/Old Snow Interface,2',450,1000,Northeast,11300,"38.459743000000, -109.247789000000",,,,,,
02-08-14,Provo,Timpanogos,Natural,,,,,East,10000,"40.394135000000, -111.613798000000",,,,,,
02-08-14,Salt Lake,Snake Creek,Natural,,,,,East,,,,,,,,
02-08-14,Provo,Timpanogos,Natural,,,,,Northeast,10200,"40.395624000000, -111.620579000000",,,,,,
02-08-14,Salt Lake,Lookout Peak,Skier,New Snow/Old Snow Interface,2',125,800,North,8500,"40.844983000000, -111.736450000000",1,1,,,,
02-08-14,Provo,North Fork Provo R.,Natural,,,,,Southwest,6000,,,,,,,
02-08-14,Salt Lake,White Pine,Skier,New Snow/Old Snow Interface,2',80,150,Northwest,10200,,,,,,,
02-08-14,Provo,Box Elder,Unknown,,"18""",,,East,,"40.494579000000, -111.696281000000",,,,,,
02-08-14,Logan,Little Mountain,Natural,,,200,400,East,5500,"41.887945000000, -111.955490000000",,,,,,
02-08-14,Salt Lake,Summit Park,Skier,New Snow/Old Snow Interface,"14""",80,100,Northeast,8100,"40.728462000000, -111.614656000000",1,2,,,,
02-07-14,Salt Lake,Grizzly Gulch,Natural,,"8""",100,40,Southeast,9000,,,,,,,
02-07-14,Salt Lake,Scotts Peak,Natural,New Snow/Old Snow Interface,"16""",70,350,North,10000,,,,,,,
02-07-14,Salt Lake,Flagstaff Ridge,Skier,Density Change,"20""",100,,Southeast,9300,,,,,,,
02-06-14,Salt Lake,Monte Cristo,Skier,,"10""",40,150,Northeast,10700,"40.594012000000, -111.671305000000",2,2,,,,
02-06-14,Salt Lake,Argenta,Skier,New Snow/Old Snow Interface,"9""",50,100,Northwest,10000,,,,,,,
02-05-14,Salt Lake,Lake Peak,Skier,,"6""",20,200,Northeast,10300,"40.543399000000, -111.686790000000",1,1,,,,
02-05-14,Salt Lake,Superior,Skier,Facets,,,,North,10900,"40.592415000000, -111.668472000000",2,2,1,,,
02-05-14,Salt Lake,Porter Fork,Snowboarder,Density Change,"12""",30,300,Northeast,9700,,,,,,,
02-05-14,Salt Lake,Little Water Peak,Unknown,,unknown,70,400,North,9600,"40.672037000000, -111.627445000000",,,,,,
02-05-14,Salt Lake,White Pine,Snowboarder,,"8""",25,Unknown,West,9900,"40.554113000000, -111.671069000000",1,1,,,,
02-05-14,Salt Lake,Lake Peak,Skier,,,,,North,10600,"40.542530000000, -111.683578000000",3,3,,,,
02-05-14,Salt Lake,Mineral Fork,Unknown,,unknown,100,350,Northeast,9400,,,,,,,
02-04-14,Moab,Moab,Natural,Surface Hoar,2',50,100,Northeast,10500,"38.461184000000, -109.270277000000",,,,,,
02-04-14,Moab,Moab,Natural,New Snow,unknown,35,150,East,,"38.461565000000, -109.271157000000",,,,,,
02-02-14,Provo,Cascade Ridge,Skier,Facets,3',100,600,Northeast,10000,,,,,,,
02-02-14,Salt Lake,High Ivory,,,"9""",350,300,East,,,,,,,,
02-01-14,Provo,Chablis,Natural,New Snow,"10""",25,400,Northeast,10000,"40.369872000000, -111.615150000000",1,1,1,,,
02-01-14,Logan,Cottonwood Canyon,Natural,Depth Hoar,unknown,250,Unknown,North,8800,"41.873522000000, -111.675382000000",,,,,,
01/31/2014,Salt Lake,Snake Creek,Snowmobiler,New Snow/Old Snow Interface,"10""",100,100,Southeast,Unknown,"40.575357000000, -111.579576000000",,,,,,
01/31/2014,Salt Lake,Emma Ridges,Skier,Density Change,"10""",30,350,South,9700,"40.597054000000, -111.627038000000",,,,,,
01/31/2014,Salt Lake,Sound of Music,Skier,New Snow/Old Snow Interface,"8""",200,300,East,9000,"40.684620000000, -111.600151000000",,,,,,
01/30/2014,Salt Lake,Lackawaxen,Unknown,New Snow/Old Snow Interface,"10""",40,,East,10600,,,,,,,
01/30/2014,Uintas,Chalk Creek,Natural,New Snow/Old Snow Interface,"12""",200,125,Northeast,9600,"40.852754000000, -111.101561000000",,,,,,
01/30/2014,Salt Lake,No Name Bowl,Skier,Facets,"11""",80,700,Northeast,9200,"40.635040000000, -111.563585000000",,,,,,
01/30/2014,Salt Lake,Chicken Sh#! Ridge,Skier,Facets,"12""",30,100,East,9300,"40.606641000000, -111.641241000000",,,,,,
01/30/2014,Logan,Temple Fork Junction,Natural,Ground Interface,"12""",60,700,Northwest,7000,"41.822267000000, -111.613770000000",,,,,,
01/22/2014,Skyline,Wedding Ring Ridge,Natural,Facets,5',50,150,Northeast,9600,"39.608894000000, -111.292362000000",,,,,,
01/20/2014,Uintas,Whitney Basin,Snowmobiler,Depth Hoar,12',400,800,East,10500,"40.828164000000, -110.960498000000",,,,,,
01/20/2014,Uintas,Whitney Basin,Snowmobiler,Depth Hoar,4',200,600,East,10800,"40.843230000000, -111.020279000000",,,,,,
01/20/2014,Uintas,Whitney Basin,Snowmobiler,Depth Hoar,2',80,175,Northeast,10000,"40.873935000000, -110.973930000000",,,,,,
01/20/2014,Uintas,Moffit Basin,Snowmobiler,Depth Hoar,8',300,800,East,10900,"40.807508000000, -110.954318000000",,,,,,
01/20/2014,Salt Lake,Raymond Slabs,Natural,Facets,3.5',125,800,Northeast,9800,"40.660326000000, -111.704929000000",,,,,,
01/19/2014,Provo,Dry Fork,Natural,,unknown,Unknown,Unknown,South,9000,"40.279702000000, -111.573973000000",,,,,,
01/18/2014,Uintas,Nobletts,Snowmobiler,Ground Interface,2.5',50,80,Northeast,9600,"40.478222000000, -111.114628000000",,,,,,
01/18/2014,Salt Lake,No No Name,Snowmobiler,Facets,3',80,100,Southeast,9600,"40.631640000000, -111.562343000000",,,,,,
01/18/2014,Uintas,Currant Creek,Snowmobiler,Ground Interface,4',200,200,Northeast,10200,"40.392314000000, -111.180289000000",,,,,,
01/17/2014,Uintas,Coalville,Natural,Facets,2.5',350,300,East,9200,"40.953378000000, -111.509857000000",,,,,,
01/17/2014,Provo,South Fork Provo R.,Skier,Facets,2',250,700,East,9800,,,,,,,
